Model,Test R²,Test MSE,Test MAE,CV MSE,CV Std,Training Time (s),Params Tested
Neural Network,0.12001620715431638,563.2702339366621,15.262835199035699,458.206970016434,122.35359232267497,10.544770956039429,6
Ridge Regression,0.050468366677318244,607.7872224241287,17.5769533763568,416.0743802396737,106.84305041513203,11.941932201385498,4
Random Forest,0.04605098977687516,610.6147482721362,17.931040878007604,403.78650767132575,103.8458990448226,281.3717963695526,24
Gradient Boosting,-0.1511844071352757,736.86346905827,19.14177732584036,456.50782119651393,113.65346720713667,777.2047431468964,24
Linear Regression,-0.4460593944538964,925.6104714910257,21.54968377820667,710.1606973583164,149.59431542391138,23.00699210166931,1
XGBoost,-0.6357924629584024,1047.0570148829845,21.70352867603302,440.5179188297608,119.15496112470699,427.2787027359009,24
